0,project,baseline_type,compare_type
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.AppEngineDeployResult to com.google.cloud.tools.managedcloudsdk.command.AsyncByteConsumer>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.AppEngineDeployResult$Version to com.google.cloud.tools.managedcloudsdk.command.AsyncStreamSaver>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.command.AsyncStreamSaverFactory>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersionPreRelease to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.GcloudStructuredLog$GcloudError>,aep-core-0.10.0,original,hmd
<Operation Remove: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent$State>,aep-core-0.10.0,original,hmd
<Operation Match: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.GcloudStructuredLog to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.GcloudStructuredLog>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.GcloudStructuredLog$GcloudError to com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.AppCfgArgs>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersionPreRelease$PreReleaseSegment to com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.Args>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkComponent$1 to com.google.cloud.tools.appengine.operations.cloudsdk.internal.args.DevAppServerArgs>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.internal.args.Args>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.serialization.GcloudStructuredLog$GcloudError>,aep-core-0.10.0,original,hmd
<Operation Remove: com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkConfig$Core>,aep-core-0.10.0,original,hmd
<Operation Update: Mcom.google.cloud.tools.appengine.operations.cloudsdk.serialization to Mcom.google.cloud.tools.managedcloudsdk.BadCloudSdkVersionException>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations.cloudsdk>,aep-core-0.10.0,original,hmd
<Operation Remove: Mcom.google.cloud.tools.appengine.operations>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration to com.google.cloud.tools.appengine.operations.CloudSdk>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration to com.google.cloud.tools.appengine.operations.CloudSdk$ResolverComparator>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployConfiguration to com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkResolver>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration to com.google.cloud.tools.appengine.operations.CloudSdk$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration to com.google.cloud.tools.appengine.operations.cloudsdk.PathResolver>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.RunConfiguration to com.google.cloud.tools.appengine.operations.CloudSdk$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.StopConfiguration to com.google.cloud.tools.appengine.operations.cloudsdk.CloudSdkNotFoundException>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.CloudSdk$Builder>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.components.SdkUpdater>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration to com.google.cloud.tools.managedcloudsdk.BadCloudSdkVersionException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsListConfiguration to com.google.cloud.tools.managedcloudsdk.Version>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.Version>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration$Builder to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersionPreRelease$PreReleaseSegment>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration$1 to com.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersionPreRelease>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration$Builder to com.google.cloud.tools.io.FileUtil>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsSelectionConfiguration$1 to com.google.cloud.tools.io.FileUtil$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.io.FileUtil$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.operations.cloudsdk.serialization.CloudSdkVersionPreRelease$PreReleaseSegment>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.install.TarGzExtractorProvider>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration$Builder to com.google.cloud.tools.libraries.json.CloudLibraryClient>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration$1 to com.google.cloud.tools.libraries.json.CloudLibraryClientMavenCoordinates>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.StopConfiguration$Builder to com.google.cloud.tools.managedcloudsdk.ManagedCloudSdk>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration$1 to com.google.cloud.tools.managedcloudsdk.ManagedCloudSdk$1>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.AppYamlProjectStageConfiguration$Builder to com.google.cloud.tools.managedcloudsdk.ManagedSdkVersionMismatchException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration$Builder to com.google.cloud.tools.managedcloudsdk.ManagedSdkVerificationException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployProjectConfigurationConfiguration$1 to com.google.cloud.tools.managedcloudsdk.UnsupportedOsException>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.RunConfiguration$Builder to com.google.cloud.tools.managedcloudsdk.components.SdkComponent>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.managedcloudsdk.ManagedCloudSdk>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.RunConfiguration$1 to com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsListConfiguration$Builder to com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.VersionsListConfiguration$1 to com.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.AppEngineWebXmlProjectStageConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.libraries.json.CloudLibraryClient>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployConfiguration$1 to com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration>,aep-core-0.10.0,original,hmd
<Operation Update: com.google.cloud.tools.appengine.configuration.DeployConfiguration$Builder to com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration$Builder>,aep-core-0.10.0,original,hmd
<Operation Insert: com.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration$1>,aep-core-0.10.0,original,hmd
<Operation Insert: Mcom.google.cloud.tools.appengine.configuration.GenRepoInfoFileConfiguration$Builder>,aep-core-0.10.0,original,hmd
