Iteration;ProjectName;StdDev;ClassCount;ClustersCount;Fitness;ExecutionTime;Memory;ExecutionAborted
5;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;63;15.9509;13;173;false
5;_b01-jgit-http-6.8.0 61C.odem;0;61;28;10.6159;7;172;false
5;_b01-log4j-api-2.21.1 189C.odem;0;181;94;21.3581;34;171;false
5;_b01-jgit-lfs-6.8.0 41C.odem;0;41;21;4.6996;7;170;false
5;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;29;4.9765;10;169;false
5;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;15;5.4026;5;168;false
5;_b01-aep-core-0.10.0 162C.odem;0;162;94;28.0249;25;167;false
5;_b01-jgit-ssh-6.8.0 100C.odem;0;98;53;15.4371;15;166;false
5;_b01-log4j-jpa-2.21.1 26C.odem;0;23;12;4.4921;7;165;false
5;_b01-jmetal-auto-6.2.2 69C.odem;0;69;25;4.5775;10;164;false
5;_b01-gson-2.10.1 212C.odem;0;212;93;18.5608;51;162;false
5;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;76;18.7022;18;160;false
5;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;24;6.4777;8;159;false
5;_b01-scribejava-apis-8.3.4 175C.odem;0;175;103;68.5811;27;158;false
5;_b01-lucene-luke-11.0.0 278C.odem;0;277;154;31.2440;97;154;false
5;_b01-jmetal-component-6.2.2 132C.odem;0;132;62;11.3549;15;152;false
5;_b01-elasticsearch-native-9.1.0 66C.odem;0;66;28;6.6393;8;151;false
5;_b01-elasticsearch-core-9.1.0 63C.odem;0;63;34;13.2534;6;150;false
5;_b01-javacc-7.0.14 190C.odem;0;190;84;12.9851;40;148;false
5;_b01-jgit-pgm-6.8.0 121C.odem;0;121;56;11.8495;14;147;false
5;_b01-lucene-codecs-11.0.0 208C.odem;0;207;111;29.1900;47;144;false
5;_b01-jmetal-lab-6.2.2 54C.odem;0;54;25;6.1514;8;143;false
5;_b01-dubbo-cluster-3.2.8 195C.odem;0;195;102;28.7537;37;141;false
5;_b01-junit-jupiter-engine-5.10.1 130C.odem;0;129;68;17.0225;15;140;false
5;_b01-log4j-layout-template-json-2.21.1 154C.odem;0;150;53;15.3028;23;138;false
5;_b01-javaGeom-0.11.3 159C.odem;0;159;67;11.6174;33;135;false
6;_b01-joda-time-2.14.0 248C.odem;0;248;108;18.3792;74;131;false
6;_b01-lucene-highlighter-11.0.0 167C.odem;0;166;85;22.7021;25;128;false
6;_b01-joda-money-2.0.3 29C.odem;0;28;10;2.8129;8;128;false
6;_b01-moquette-broker-0.19 204C.odem;0;204;107;24.3960;39;126;false
6;_b01-lucene-analysis-kuromoji-11.0.0 69C.odem;0;68;42;13.2982;6;124;false
6;_b01-junit-platform-launcher-1.10.1 116C.odem;0;115;59;15.9509;13;123;false
6;_b01-jgit-http-6.8.0 61C.odem;0;61;34;10.6159;7;123;false
6;_b01-log4j-api-2.21.1 189C.odem;0;181;96;21.3581;32;121;false
6;_b01-jgit-lfs-6.8.0 41C.odem;0;41;23;4.6996;6;120;false
6;_b01-elasticsearch-geo-9.1.0 58C.odem;0;58;25;4.9765;9;119;false
6;_b01-log4j-iostreams-2.21.1 29C.odem;0;26;13;5.4026;5;118;false
6;_b01-aep-core-0.10.0 162C.odem;0;162;82;28.0249;21;117;false
6;_b01-jgit-ssh-6.8.0 100C.odem;0;98;52;15.4371;9;116;false
6;_b01-log4j-jpa-2.21.1 26C.odem;0;23;14;4.4921;6;115;false
6;_b01-jmetal-auto-6.2.2 69C.odem;0;69;29;4.5775;7;115;false
6;_b01-gson-2.10.1 212C.odem;0;212;101;18.5608;48;112;false
6;_b01-junit-platform-engine-1.10.1 136C.odem;0;135;73;18.7022;16;111;false
6;_b01-lucene-analysis-nori-11.0.0 48C.odem;0;47;23;6.4777;7;110;false
6;_b01-scribejava-apis-8.3.4 175C.odem;0;175;110;68.5811;24;108;false
6;_b01-lucene-luke-11.0.0 278C.odem;0;277;147;31.2440;92;105;false
6;_b01-jmetal-component-6.2.2 132C.odem;0;132;52;11.3549;15;102;false
